date,symbol,action,price,shares,cost,pnl,reason,proceeds,return_pct,cumulative_pnl,portfolio_value
2024-12-30,CTG,BUY,26.68,374800,9999664.0,0.0,Score=7.4,,0.0,0.0,100000000.0
2025-04-08,CTG,SELL,24.69,374800,,-745852.0,STOP_LOSS,9253812.0,-0.745852,-745852.0,99254148.0
2024-12-30,SAB,BUY,52.77,188000,9920760.0,0.0,Score=7.4,,-0.745852,-745852.0,99254148.0
2025-02-11,SAB,SELL,48.54,188000,,-795240.0,STOP_LOSS,9125520.0,-1.541092,-1541092.0,98458908.0
2024-12-30,MWG,BUY,60.13,163700,9843281.0,0.0,Score=7.4,,-1.541092,-1541092.0,98458908.0
2025-02-11,MWG,SELL,55.6,163700,,-741561.0,STOP_LOSS,9101720.0,-2.2826530000000003,-2282653.0,97717347.0
2024-12-30,HPG,BUY,22.29,438300,9769707.0,0.0,Score=6.8,,-2.2826530000000003,-2282653.0,97717347.0
2025-04-04,HPG,SELL,20.5,438300,,-784557.0,STOP_LOSS,8985150.0,-3.06721,-3067210.0,96932790.0
2024-12-30,BID,BUY,37.83,256200,9692046.0,0.0,Score=6.8,,-3.06721,-3067210.0,96932790.0
2025-04-08,BID,SELL,33.13,256200,,-1204140.0,STOP_LOSS,8487906.0,-4.27135,-4271350.0,95728650.0
2024-12-30,SHB,BUY,7.87,1216300,9572281.0,0.0,Score=6.2,,-4.27135,-4271350.0,95728650.0
2025-03-14,SHB,SELL,9.12,1216300,,1520374.9999999981,TAKE_PROFIT,11092655.999999998,-2.750975000000002,-2750975.000000002,97249025.0
2024-12-30,VNM,BUY,58.4,166500,9723600.0,0.0,Score=6.2,,-2.750975000000002,-2750975.000000002,97249025.0
2025-04-03,VNM,SELL,52.12,166500,,-1045620.0,STOP_LOSS,8677980.0,-3.7965950000000017,-3796595.000000002,96203405.0
2024-12-30,FRT,BUY,148.0,65000,9620000.0,0.0,Score=6.2,,-3.7965950000000017,-3796595.000000002,96203405.0
2025-03-24,FRT,SELL,137.6,65000,,-676000.0,STOP_LOSS,8944000.0,-4.472595000000002,-4472595.000000002,95527405.0
2024-12-30,PNJ,BUY,95.34,100100,9543534.0,0.0,Score=6.2,,-4.472595000000002,-4472595.000000002,95527405.0
2025-03-13,PNJ,SELL,88.54,100100,,-680680.0,STOP_LOSS,8862854.0,-5.153275000000002,-5153275.000000002,94846725.0
