feature,importance
return_1d_std_20,0.05277331220327612
volatility_20d,0.04245063469106822
return_1d_std_10,0.0367553033712456
return_1d_min_20,0.036661850788209445
return_1d_min_10,0.03326841878527383
return_1d_max_20,0.031499142486731614
sma20_vs_sma50,0.02665945518097765
hl_range,0.025038342952920647
return_1d_max_10,0.02237449153873601
price_vs_sma50,0.021690604473795796
volatility_5d,0.019505517208228587
return_1d_std_5,0.018532207062800534
macd_diff_lag5,0.01818892014930245
return_1d_mean_20,0.01783663518487252
return_1d_min_5,0.017202720573909955
sma_50,0.016809974143915097
return_1d_max_5,0.016247086416834897
price_vs_sma20,0.015907108871111467
return_20d,0.015664080951054243
sma_20,0.015660670415301392
macd_signal,0.014964121059829761
macd,0.014676552333894656
sma_5,0.014317610089723216
sma_10,0.013890954467266731
volume_min_20,0.013719232375787418
volume_std_20,0.013149238782267725
volume_std_10,0.013141769998997752
return_1d_mean_10,0.012940183092807329
sma5_vs_sma20,0.01289014103879815
volume_min_10,0.012728065447251836
return_5d,0.012582601498518033
momentum_20,0.012442169693362861
macd_diff_lag1,0.012428691629553377
volume_max_20,0.0122993113049315
volume_mean_10,0.01215730588813652
macd_diff_lag3,0.012097374482833784
volume_mean_20,0.012052666969044662
return_10d,0.011912605786155989
macd_diff,0.011912429361113693
volume_min_5,0.011867663258988964
price_vs_sma5,0.0117959950518305
volume_max_10,0.0113903431383623
rsi_14_lag1,0.011305359096735452
rsi_14_lag5,0.011222569572605829
macd_diff_lag2,0.010923047000090256
return_1d_mean_5,0.010900736394533863
volume_max_5,0.010838255755609493
rsi_14,0.0103753852771232
rsi_14_lag2,0.010254194079776917
volume_std_5,0.010219095060361857
rsi_14_lag3,0.010168521637915377
volume_ma_5,0.010079886325228505
momentum_10,0.009672318902728235
volume_vs_ma,0.009641890327957005
volume_mean_5,0.009358509860475548
momentum_5,0.009210570525807801
return_1d,0.008626812650823913
return_1d_lag5,0.00831245433285615
volume_change_lag1,0.0077327526375947165
volume_change_lag3,0.007404156070865143
volume_change_lag2,0.007312924312126203
volume_change_lag5,0.007306919200732421
volume_change,0.007130829500159443
return_1d_lag1,0.007117688410696071
return_1d_lag3,0.00684587717764128
return_1d_lag2,0.005955741690532729
