Symbol,Price,PE,PB,ROE,Revenue_Growth_YoY,Profit_Growth_YoY,Net_Profit_TTM
VCB,65.1,,,15.46,,0.75,35178155000000
BID,48.5,,,17.26,,46.07,29956962000000
CTG,38.5,,,19.26,,12.81,34590657000000
TCB,36.0,,,14.09,,98.03,25290230000000
MBB,28.75,,,18.86,,39.44,26778939000000
VPB,28.85,,,13.31,,72.33,23989930000000
ACB,24.45,,,16.53,,-38.74,15624699000000
HDB,28.45,,,21.09,,63.99,16503470000000
STB,66.7,,,9.92,,-176.5,5939111000000
TPB,18.65,,,16.04,,49.29,7379697000000
VIB,17.4,,,15.53,,-14.22,7285430000000
SHB,16.2,,,17.66,,8.26,12009909000000
SSB,16.95,,,13.65,,-91.46,5509539000000
LPB,42.3,,,24.2,,39.73,11422379000000
EIB,23.6,,,4.37,,-132.91,1136939000000
VIC,158.0,,,8.88,,208.72,13446455000000
VHM,107.0,,,16.58,,119.8,41107147000000
VRE,28.55,,,13.33,,144.98,6445923000000
BCM,67.0,,,14.96,,-14.63,3488464715525
VGI,113.8,,,21.76,,1.62,9324004846449
GAS,110.0,,,16.87,,-33.41,11414340148830
PLX,58.0,,,9.15,,7.41,2696172252108
HPG,29.3,,,11.77,,37.47,15450084827347
GVR,42.2,,,8.83,,-42.75,5529750491046
VNM,72.3,,,27.29,,33.75,9410201646692
MSN,80.3,,,9.11,,113.29,4108306000000
MWG,93.0,,,21.21,,144.59,7036628523122
SAB,49.2,,,19.23,,10.04,4423539822536
SSI,32.15,,,12.8,,91.11,4106090416749
FPT,89.1,,,21.41,,19.48,9369309781065
KDH,27.95,,,4.97,,24.56,1052699493000
DXG,15.8,,,1.1,,-96.18,228716134450
NVL,12.65,,,2.89,,235.4,1700258456653
PDR,17.0,,,4.15,,20461.76,515069907619
DIG,15.35,,,6.64,,330.64,665947363254
BCG,2.53,,,1.89,,296.91,404013458716
POW,14.3,,,6.31,,956.33,2341021207807
REE,63.0,,,10.2,,-8.68,2527996764957
DGW,52.3,,,15.78,,13.83,547878824084
NT2,27.8,,,21.14,,466.28,999681232228
BSR,29.35,,,8.57,,3708.07,5185942061885
PNJ,119.5,,,21.31,,66.77,2829338825192
FRT,171.0,,,15.47,,160.59,794864943551
VHC,62.7,,,13.65,,-46.82,1363034755021
DGC,76.0,,,19.64,,-16.8,3024975472132
VJC,178.5,,,8.54,,67799.95,2122533969007
HVN,27.8,,,107.11,,-73.29,7301971130292
VND,18.9,,,9.67,,36.08,2022085027284
HNG,6.8,,,-93.01,,18.31,-979068218000
VGC,52.3,,,12.13,,3.29,1403160436994
