Symbol,Action,Score,Entry_Price,Weight_%,Capital_VND,Volume_Shares,Stop_Loss,Target,Risk/Reward
LPB,MUA MẠNH,8.7,"43,150",4.3%,"4,315,000",100,"40,130","49,622",1:2.14
HDB,MUA MẠNH,8.0,"28,400",2.8%,"2,840,000",100,"26,412","32,660",1:2.14
ANV,MUA MẠNH,8.0,"27,750",2.8%,"2,775,000",100,"25,808","31,912",1:2.14
NT2,MUA MẠNH,7.65,"27,600",2.8%,"2,760,000",100,"25,668","31,740",1:2.14
TPB,MUA THĂM DÒ,7.0,"18,350",3.7%,"3,670,000",200,"17,066","21,102",1:2.14
MSH,MUA THĂM DÒ,6.95,"38,700",3.9%,"3,870,000",100,"35,991","44,505",1:2.14
PNJ,MUA THĂM DÒ,6.95,120,3.9%,"3,948,000",32900,112,138,1:2.14
ITD,MUA THĂM DÒ,6.95,"16,900",3.4%,"3,380,000",200,"15,717","19,435",1:2.14
SZC,MUA THĂM DÒ,6.7,"34,700",3.5%,"3,470,000",100,"32,271","39,905",1:2.14
VPB,MUA THĂM DÒ,6.7,"28,900",2.9%,"2,890,000",100,"26,877","33,235",1:2.14
