time,open,high,low,close,volume
2023-01-03 07:00:00,47.62,48.79,47.07,48.72,909500
2023-01-04 07:00:00,48.72,48.86,47.9,47.9,337000
2023-01-05 07:00:00,47.9,48.93,47.76,48.24,284500
2023-01-06 07:00:00,48.24,48.66,47.34,47.62,416700
2023-01-09 07:00:00,48.31,48.31,46.24,46.24,702000
2023-01-10 07:00:00,46.52,47.0,46.1,46.38,315300
2023-01-11 07:00:00,46.59,46.79,45.69,45.69,661000
2023-01-12 07:00:00,46.31,46.31,45.41,45.55,377600
2023-01-13 07:00:00,45.55,45.96,45.21,45.21,490100
2023-01-16 07:00:00,45.21,45.21,44.17,44.17,577100
2023-01-17 07:00:00,44.17,45.55,44.17,45.55,398400
2023-01-18 07:00:00,45.55,47.83,45.55,47.34,837300
2023-01-19 07:00:00,46.79,47.97,46.72,47.97,777100
2023-01-27 07:00:00,48.17,50.66,48.17,50.38,1677100
2023-01-30 07:00:00,51.07,52.04,50.38,51.14,1348300
2023-01-31 07:00:00,50.73,51.21,50.04,50.93,797100
2023-02-01 07:00:00,51.42,51.42,48.31,48.52,1292900
2023-02-02 07:00:00,48.79,49.35,48.24,48.72,529100
2023-02-03 07:00:00,49.28,49.28,48.31,49.28,1259500
2023-02-06 07:00:00,49.28,50.66,48.79,50.38,1814500
2023-02-07 07:00:00,50.73,53.28,50.45,52.52,2864400
2023-02-08 07:00:00,52.31,53.62,50.93,51.97,1083700
2023-02-09 07:00:00,51.97,53.0,50.86,50.86,779400
2023-02-10 07:00:00,50.38,51.49,48.72,49.48,1124500
2023-02-13 07:00:00,49.48,50.17,48.38,49.62,850700
2023-02-14 07:00:00,50.11,50.52,49.62,50.38,634800
2023-02-15 07:00:00,50.17,51.69,50.11,50.73,543400
2023-02-16 07:00:00,50.8,51.28,50.38,50.59,497700
2023-02-17 07:00:00,50.59,52.24,50.38,51.07,726700
2023-02-20 07:00:00,51.14,53.07,50.93,52.45,1320400
2023-02-21 07:00:00,53.0,53.69,52.31,52.31,1332200
2023-02-22 07:00:00,51.83,54.18,51.55,51.9,2170100
2023-02-23 07:00:00,51.9,52.38,50.24,52.04,1045700
2023-02-24 07:00:00,52.04,52.11,50.17,50.17,852200
2023-02-27 07:00:00,49.0,50.04,48.66,48.72,902700
2023-02-28 07:00:00,49.0,49.35,47.34,47.62,710400
2023-03-01 07:00:00,47.62,49.48,46.93,49.48,425200
2023-03-02 07:00:00,49.55,49.62,48.72,48.93,384000
2023-03-03 07:00:00,49.21,49.21,47.97,47.97,485500
2023-03-06 07:00:00,48.24,49.28,48.24,48.24,385400
2023-03-07 07:00:00,48.38,48.79,48.1,48.24,389900
2023-03-08 07:00:00,48.24,49.97,48.03,49.97,668700
2023-03-09 07:00:00,49.97,50.66,49.69,50.04,535100
2023-03-10 07:00:00,49.9,50.17,49.41,49.69,342000
2023-03-13 07:00:00,49.0,49.35,48.86,48.86,452000
2023-03-14 07:00:00,48.86,48.93,47.69,48.03,759200
2023-03-15 07:00:00,49.48,49.69,48.66,49.35,480100
2023-03-16 07:00:00,48.66,49.0,48.03,48.31,615200
2023-03-17 07:00:00,48.59,49.0,47.55,47.55,639100
2023-03-20 07:00:00,47.62,47.97,45.41,45.55,1736500
2023-03-21 07:00:00,46.17,46.24,45.07,46.17,821200
2023-03-22 07:00:00,46.31,46.31,45.07,45.07,931900
2023-03-23 07:00:00,45.07,45.62,44.1,44.1,1079500
2023-03-24 07:00:00,44.79,45.21,44.45,44.86,822600
2023-03-27 07:00:00,44.86,45.69,44.79,44.93,867200
2023-03-28 07:00:00,45.55,45.62,44.79,44.79,631500
2023-03-29 07:00:00,45.21,45.21,43.13,43.69,1610200
2023-03-30 07:00:00,43.89,44.17,42.1,42.58,1595700
2023-03-31 07:00:00,42.58,43.13,42.1,42.1,858300
2023-04-03 07:00:00,43.0,43.0,42.1,42.44,1273700
2023-04-04 07:00:00,42.51,44.86,42.51,44.86,1710500
2023-04-05 07:00:00,44.86,45.21,44.31,44.58,609400
2023-04-06 07:00:00,44.58,45.14,44.1,44.17,1146600
2023-04-07 07:00:00,44.17,44.38,43.62,43.76,506600
2023-04-10 07:00:00,44.17,46.52,44.1,45.55,2271400
2023-04-11 07:00:00,45.55,45.76,44.86,45.21,733200
2023-04-12 07:00:00,45.21,45.76,44.86,44.86,686600
2023-04-13 07:00:00,45.14,46.24,44.79,46.03,1578000
2023-04-14 07:00:00,46.17,46.59,44.86,44.86,1035000
2023-04-17 07:00:00,45.07,46.17,44.58,45.21,649900
2023-04-18 07:00:00,46.1,46.1,45.41,45.55,754100
2023-04-19 07:00:00,45.62,47.62,45.62,46.65,2111000
2023-04-20 07:00:00,46.79,47.07,46.03,46.03,591400
2023-04-21 07:00:00,46.38,46.38,44.86,45.27,998900
2023-04-24 07:00:00,45.34,45.55,43.82,44.03,945700
2023-04-25 07:00:00,44.17,44.45,43.27,43.48,758900
2023-04-26 07:00:00,43.2,44.31,43.0,44.24,597300
2023-04-27 07:00:00,44.58,44.58,43.89,43.96,298700
2023-04-28 07:00:00,44.38,44.58,43.82,44.03,516900
2023-05-04 07:00:00,43.41,44.65,43.41,44.24,471300
2023-05-05 07:00:00,44.24,44.51,44.03,44.17,254700
2023-05-08 07:00:00,44.17,44.31,43.82,43.82,527200
2023-05-09 07:00:00,43.89,44.45,43.48,43.82,324200
2023-05-10 07:00:00,44.1,44.45,43.96,44.17,421200
2023-05-11 07:00:00,44.31,45.14,44.17,44.38,550900
2023-05-12 07:00:00,44.17,44.51,44.1,44.24,546100
2023-05-15 07:00:00,44.31,44.51,43.96,43.96,602000
2023-05-16 07:00:00,44.1,44.17,43.41,43.62,577800
2023-05-17 07:00:00,43.62,43.62,42.79,42.79,1040800
2023-05-18 07:00:00,42.79,43.13,42.58,43.13,362800
2023-05-19 07:00:00,42.79,43.41,42.72,43.0,305100
2023-05-22 07:00:00,43.0,43.69,43.0,43.48,337800
2023-05-23 07:00:00,43.76,43.76,43.27,43.27,416200
2023-05-24 07:00:00,43.27,43.48,43.27,43.34,308500
2023-05-25 07:00:00,43.34,43.41,42.79,43.34,434300
2023-05-26 07:00:00,43.48,43.82,43.13,43.48,388000
2023-05-29 07:00:00,43.96,43.96,43.48,43.62,417800
2023-05-30 07:00:00,43.69,45.07,43.69,44.79,1244200
2023-05-31 07:00:00,44.79,45.0,43.96,43.96,558900
2023-06-01 07:00:00,44.17,44.79,43.96,44.79,704500
2023-06-02 07:00:00,44.86,45.9,44.51,45.55,1380900
2023-06-05 07:00:00,46.59,46.59,45.27,45.27,1029600
2023-06-06 07:00:00,45.83,46.87,45.59,45.83,1129200
2023-06-07 07:00:00,46.15,46.31,45.35,45.99,754600
2023-06-08 07:00:00,45.99,46.31,45.67,45.75,1041400
2023-06-09 07:00:00,45.91,46.47,45.27,46.47,940500
2023-06-12 07:00:00,46.63,49.67,46.55,49.67,2635300
2023-06-13 07:00:00,50.15,50.47,49.35,49.51,1073500
2023-06-14 07:00:00,49.75,49.91,48.79,49.35,1234500
2023-06-15 07:00:00,49.11,50.55,49.11,49.99,1087900
2023-06-16 07:00:00,50.39,51.19,49.43,49.59,1288200
2023-06-19 07:00:00,49.83,50.79,49.43,50.23,886400
2023-06-20 07:00:00,49.91,51.43,49.91,51.35,860000
2023-06-21 07:00:00,51.35,53.75,51.35,53.35,1549300
2023-06-22 07:00:00,53.27,53.51,52.79,53.19,618200
2023-06-23 07:00:00,52.79,54.55,52.79,54.23,870100
2023-06-26 07:00:00,53.99,55.27,52.79,55.19,1266700
2023-06-27 07:00:00,55.59,55.91,54.79,54.87,733200
2023-06-28 07:00:00,54.79,55.19,54.23,54.39,659800
2023-06-29 07:00:00,54.39,54.47,53.59,53.59,1085100
2023-06-30 07:00:00,53.67,57.27,53.67,57.27,2851500
2023-07-03 07:00:00,57.99,58.71,56.15,56.95,634200
2023-07-04 07:00:00,57.03,58.71,56.79,58.23,812700
2023-07-05 07:00:00,59.03,61.59,58.39,59.99,934800
2023-07-06 07:00:00,59.99,61.03,59.59,59.59,1518700
2023-07-07 07:00:00,59.35,61.19,59.35,60.15,703700
2023-07-10 07:00:00,59.91,61.19,59.67,60.39,1164800
2023-07-11 07:00:00,60.47,61.59,60.15,61.43,1286000
2023-07-12 07:00:00,61.99,61.99,60.39,60.79,978400
2023-07-13 07:00:00,60.95,62.47,60.79,61.11,1011400
2023-07-14 07:00:00,60.95,62.07,60.95,61.75,1071000
2023-07-17 07:00:00,61.91,65.03,61.83,63.43,995300
2023-07-18 07:00:00,63.27,63.99,62.15,62.39,718300
2023-07-19 07:00:00,62.39,63.35,61.51,61.59,1011300
2023-07-20 07:00:00,61.27,62.71,61.19,61.19,1627900
2023-07-21 07:00:00,60.87,62.71,60.63,61.75,2519100
2023-07-24 07:00:00,61.75,62.31,60.63,61.59,2015000
2023-07-25 07:00:00,61.59,63.51,60.79,61.35,1147700
2023-07-26 07:00:00,61.59,62.07,60.87,61.19,890200
2023-07-27 07:00:00,61.59,62.63,61.03,62.39,1718000
2023-07-28 07:00:00,63.03,63.75,62.63,62.63,1091100
2023-07-31 07:00:00,60.79,61.59,59.99,61.11,3082800
2023-08-01 07:00:00,61.19,62.39,60.55,60.95,1091900
2023-08-02 07:00:00,60.47,61.59,60.47,61.11,932900
2023-08-03 07:00:00,60.87,64.55,60.87,63.19,2777400
2023-08-04 07:00:00,62.87,64.15,62.87,63.19,761000
2023-08-07 07:00:00,63.27,65.99,62.95,64.79,1634100
2023-08-08 07:00:00,65.19,65.19,63.27,63.27,1010900
2023-08-09 07:00:00,62.95,63.27,61.99,61.99,1211600
2023-08-10 07:00:00,62.71,62.79,59.19,59.19,2405400
2023-08-11 07:00:00,58.39,59.99,58.39,59.99,1419400
2023-08-14 07:00:00,59.59,60.39,59.11,59.35,994200
2023-08-15 07:00:00,59.19,59.99,59.19,59.43,546600
2023-08-16 07:00:00,59.59,59.67,58.47,58.55,810000
2023-08-17 07:00:00,58.47,58.47,57.27,57.27,1375600
2023-08-18 07:00:00,57.03,57.19,54.39,54.55,1519700
2023-08-21 07:00:00,54.39,58.31,54.39,58.15,1172600
2023-08-22 07:00:00,58.07,59.83,55.99,59.83,1676500
2023-08-23 07:00:00,59.83,59.83,58.39,59.19,629900
2023-08-24 07:00:00,59.19,61.91,58.79,61.59,1984400
2023-08-25 07:00:00,61.19,62.07,60.87,61.59,682100
2023-08-28 07:00:00,61.67,65.59,61.67,64.63,1910300
2023-08-29 07:00:00,64.39,65.19,63.27,64.79,1324900
2023-08-30 07:00:00,64.79,67.59,64.63,66.63,1781900
2023-08-31 07:00:00,66.39,67.03,65.91,66.79,942900
2023-09-05 07:00:00,66.39,66.95,65.59,66.07,1092100
2023-09-06 07:00:00,66.39,68.79,65.99,67.83,1148800
2023-09-07 07:00:00,67.19,68.07,67.19,67.35,559300
2023-09-08 07:00:00,67.19,68.79,66.87,68.79,876300
2023-09-11 07:00:00,68.95,69.59,67.99,67.99,944200
2023-09-12 07:00:00,67.91,69.19,67.67,69.19,736700
2023-09-13 07:00:00,69.19,71.19,66.31,67.51,1310800
2023-09-14 07:00:00,67.51,68.23,66.95,67.51,847500
2023-09-15 07:00:00,67.99,69.67,67.67,68.79,796400
2023-09-18 07:00:00,67.99,69.19,67.99,69.19,484400
2023-09-19 07:00:00,69.19,69.67,67.27,69.59,698400
2023-09-20 07:00:00,69.83,73.59,69.59,71.35,1004300
2023-09-21 07:00:00,71.03,72.15,70.39,70.79,569800
2023-09-22 07:00:00,68.79,71.59,67.11,71.19,1604600
2023-09-25 07:00:00,70.39,71.43,67.27,69.19,1095000
2023-09-26 07:00:00,66.79,69.19,66.79,67.11,641800
2023-09-27 07:00:00,67.19,67.99,64.55,67.99,898100
2023-09-28 07:00:00,67.99,69.19,67.11,68.15,490700
2023-09-29 07:00:00,68.87,72.39,68.55,71.19,1622000
2023-10-02 07:00:00,71.19,72.71,71.03,71.99,465000
2023-10-03 07:00:00,70.39,72.79,68.87,71.19,1039200
2023-10-04 07:00:00,69.59,76.15,69.59,76.15,1281500
2023-10-05 07:00:00,75.99,76.79,75.35,75.51,904900
2023-10-06 07:00:00,75.99,79.19,74.55,77.99,625400
2023-10-09 07:00:00,76.47,77.91,76.23,76.79,637500
2023-10-10 07:00:00,76.79,77.19,75.19,76.07,1076900
2023-10-11 07:00:00,76.07,77.59,76.07,76.79,321900
2023-10-12 07:00:00,77.99,78.71,75.99,76.79,560700
2023-10-13 07:00:00,76.39,77.91,75.99,77.91,525400
2023-10-16 07:00:00,77.91,79.43,76.79,77.59,701500
2023-10-17 07:00:00,77.59,78.79,75.59,75.59,614900
2023-10-18 07:00:00,76.07,76.79,71.19,75.99,1431300
2023-10-19 07:00:00,75.19,75.75,73.59,75.19,504500
2023-10-20 07:00:00,73.59,75.99,71.19,75.75,1062100
2023-10-23 07:00:00,75.35,75.35,72.79,74.31,389100
2023-10-24 07:00:00,74.39,75.27,73.99,75.11,348800
2023-10-25 07:00:00,75.19,77.59,74.31,75.99,420700
2023-10-26 07:00:00,74.23,74.31,71.19,74.31,882800
2023-10-27 07:00:00,72.79,74.39,71.99,74.23,332600
2023-10-30 07:00:00,73.99,73.99,69.11,69.11,443900
2023-10-31 07:00:00,67.67,70.31,67.67,69.59,962700
2023-11-01 07:00:00,69.59,70.39,67.51,70.39,616100
2023-11-02 07:00:00,72.39,74.39,70.47,74.23,302500
2023-11-03 07:00:00,73.91,76.95,72.15,76.79,516000
2023-11-06 07:00:00,76.07,77.59,75.99,77.59,494400
2023-11-07 07:00:00,77.59,78.39,76.47,76.79,447900
2023-11-08 07:00:00,76.79,80.79,76.23,79.99,907800
2023-11-09 07:00:00,80.15,83.83,79.43,83.59,672300
2023-11-10 07:00:00,82.55,85.51,82.15,82.63,333000
2023-11-13 07:00:00,82.63,84.39,81.59,82.63,295000
2023-11-14 07:00:00,83.59,83.67,82.39,83.19,164700
2023-11-15 07:00:00,83.99,83.99,82.15,83.91,375800
2023-11-16 07:00:00,83.19,83.51,80.79,82.79,515100
2023-11-17 07:00:00,81.67,82.79,79.19,82.31,722100
2023-11-20 07:00:00,79.99,82.31,79.99,81.19,180400
2023-11-21 07:00:00,81.99,82.31,80.55,81.59,188800
2023-11-22 07:00:00,81.59,81.83,80.15,81.35,185600
2023-11-23 07:00:00,81.59,83.59,79.91,79.91,318800
2023-11-24 07:00:00,79.83,81.59,77.43,81.59,731900
2023-11-27 07:00:00,82.23,82.23,79.19,79.19,100400
2023-11-28 07:00:00,78.31,79.19,76.79,79.03,361000
2023-11-29 07:00:00,78.87,80.71,78.39,79.83,221300
2023-11-30 07:00:00,80.47,83.83,79.99,81.91,586700
2023-12-01 07:00:00,82.79,82.87,80.63,82.39,163100
2023-12-04 07:00:00,82.39,82.79,81.19,82.39,461200
2023-12-05 07:00:00,83.19,83.19,81.43,81.43,414200
2023-12-06 07:00:00,81.43,81.43,79.59,81.43,553800
2023-12-07 07:00:00,81.35,81.51,78.71,81.51,397400
2023-12-08 07:00:00,81.43,81.43,79.59,80.87,261300
2023-12-11 07:00:00,79.19,80.79,79.03,79.27,295700
2023-12-12 07:00:00,79.19,81.19,79.11,81.19,390100
2023-12-13 07:00:00,81.19,81.19,79.19,79.99,287700
2023-12-14 07:00:00,79.99,79.99,78.71,79.99,297300
2023-12-15 07:00:00,79.11,80.63,78.87,80.63,222200
2023-12-18 07:00:00,79.99,80.47,79.03,80.47,111200
2023-12-19 07:00:00,79.99,79.99,78.95,79.75,233300
2023-12-20 07:00:00,79.19,81.35,79.19,81.19,412900
2023-12-21 07:00:00,81.19,82.79,80.71,81.51,704300
2023-12-22 07:00:00,81.43,82.23,81.11,81.99,382100
2023-12-25 07:00:00,82.07,83.43,81.59,83.11,533200
2023-12-26 07:00:00,83.11,83.35,82.31,82.71,207800
2023-12-27 07:00:00,82.71,84.23,82.39,82.47,545100
2023-12-28 07:00:00,82.47,84.15,81.35,84.15,462900
2023-12-29 07:00:00,84.15,85.59,82.63,85.59,415700
2024-01-02 07:00:00,85.51,85.51,83.19,84.23,235200
2024-01-03 07:00:00,83.99,84.23,82.55,83.99,452800
2024-01-04 07:00:00,84.71,84.71,82.15,82.79,775200
2024-01-05 07:00:00,82.23,83.19,81.75,82.39,320100
2024-01-08 07:00:00,82.47,82.63,80.79,80.87,488400
2024-01-09 07:00:00,81.19,81.83,80.39,80.39,438400
2024-01-10 07:00:00,80.15,81.43,77.91,79.11,1153100
2024-01-11 07:00:00,79.19,79.99,78.39,78.47,344900
2024-01-12 07:00:00,78.47,79.83,77.91,78.23,332400
2024-01-15 07:00:00,78.15,79.59,77.51,77.51,444700
2024-01-16 07:00:00,76.55,78.79,76.55,78.55,484700
2024-01-17 07:00:00,79.35,79.83,78.71,79.59,511000
2024-01-18 07:00:00,79.59,79.99,79.19,79.75,460200
2024-01-19 07:00:00,80.31,80.31,79.03,79.91,620300
2024-01-22 07:00:00,79.91,81.03,78.23,80.63,593100
2024-01-23 07:00:00,80.63,80.63,79.67,80.07,391600
2024-01-24 07:00:00,80.07,80.31,79.27,79.51,454300
2024-01-25 07:00:00,79.19,85.03,79.19,85.03,1645100
2024-01-26 07:00:00,84.95,85.43,83.27,83.99,726300
2024-01-29 07:00:00,83.99,86.79,82.15,86.79,1199400
2024-01-30 07:00:00,86.79,91.99,85.19,90.95,966600
2024-01-31 07:00:00,91.03,92.79,89.99,91.67,735700
2024-02-01 07:00:00,91.67,94.79,91.67,94.55,442400
2024-02-02 07:00:00,94.79,95.43,93.67,95.19,549300
2024-02-05 07:00:00,95.19,95.91,94.39,95.59,732500
2024-02-06 07:00:00,95.59,99.43,95.19,98.79,1159200
2024-02-07 07:00:00,99.67,101.51,98.87,99.99,296700
2024-02-15 07:00:00,99.99,100.31,97.91,100.31,421600
2024-02-16 07:00:00,100.31,100.31,98.39,99.59,422300
2024-02-19 07:00:00,97.99,99.11,97.67,98.79,465400
2024-02-20 07:00:00,97.59,98.63,97.35,98.07,540400
2024-02-21 07:00:00,97.67,103.19,97.67,101.43,462000
2024-02-22 07:00:00,101.43,102.39,99.99,101.19,234500
2024-02-23 07:00:00,99.83,105.43,99.83,104.71,624900
2024-02-26 07:00:00,104.71,107.99,102.39,107.59,338900
2024-02-27 07:00:00,107.99,111.11,104.79,108.71,585700
2024-02-28 07:00:00,108.71,109.19,105.75,109.03,777900
2024-02-29 07:00:00,107.99,116.54,107.19,115.98,750600
2024-03-01 07:00:00,115.82,121.26,111.99,112.79,834200
2024-03-04 07:00:00,113.03,115.82,110.87,113.42,739500
2024-03-05 07:00:00,113.42,116.06,113.42,115.98,232100
2024-03-06 07:00:00,115.98,117.18,114.14,116.06,462100
2024-03-07 07:00:00,115.98,117.98,115.18,117.58,612500
2024-03-08 07:00:00,116.86,118.78,115.18,116.78,625200
2024-03-11 07:00:00,117.98,124.94,117.18,123.58,1364000
2024-03-12 07:00:00,123.26,129.66,123.26,126.38,1210300
2024-03-13 07:00:00,127.18,127.18,124.38,126.38,668900
2024-03-14 07:00:00,126.38,127.74,119.98,123.18,1356300
2024-03-15 07:00:00,123.1,124.38,117.58,117.58,2428800
2024-03-18 07:00:00,118.38,120.3,111.43,119.9,1828000
2024-03-19 07:00:00,119.98,120.94,117.18,119.74,871600
2024-03-20 07:00:00,119.1,120.22,116.78,119.98,419500
2024-03-21 07:00:00,119.98,120.22,117.74,119.98,569200
2024-03-22 07:00:00,119.82,119.82,117.98,119.74,599000
2024-03-25 07:00:00,118.06,119.18,116.94,118.38,465400
2024-03-26 07:00:00,117.18,118.3,115.34,118.3,568800
2024-03-27 07:00:00,116.78,117.58,113.26,117.58,1187100
2024-03-28 07:00:00,117.58,125.5,117.58,125.5,1260500
2024-03-29 07:00:00,125.5,125.98,121.66,124.78,888900
2024-04-01 07:00:00,122.06,123.5,121.74,122.78,530900
2024-04-02 07:00:00,121.42,123.9,118.62,122.38,790300
2024-04-03 07:00:00,119.98,120.62,118.7,118.7,849100
2024-04-04 07:00:00,118.7,119.98,114.94,119.18,1018200
2024-04-05 07:00:00,118.22,119.98,116.14,118.38,398200
2024-04-08 07:00:00,116.14,117.9,113.5,114.3,805400
2024-04-09 07:00:00,114.3,114.54,110.15,111.99,1555200
2024-04-10 07:00:00,112.15,114.78,111.19,111.99,437100
2024-04-11 07:00:00,110.39,116.46,110.23,116.14,748500
2024-04-12 07:00:00,115.9,116.3,113.98,115.9,182800
2024-04-15 07:00:00,114.06,114.62,107.99,111.11,738900
2024-04-16 07:00:00,110.39,112.79,108.23,112.79,537600
2024-04-17 07:00:00,111.99,113.11,110.39,112.79,414000
2024-04-19 07:00:00,111.99,112.79,109.59,112.79,488100
2024-04-22 07:00:00,112.79,116.94,112.23,115.98,899500
2024-04-23 07:00:00,115.98,117.42,115.1,115.98,538900
2024-04-24 07:00:00,113.98,123.98,113.98,120.78,2011700
2024-04-25 07:00:00,121.58,123.74,120.62,122.38,497300
2024-04-26 07:00:00,122.38,130.94,121.18,128.78,2083100
2024-05-02 07:00:00,128.78,131.98,127.98,131.18,665800
2024-05-03 07:00:00,132.38,132.78,127.98,131.18,965600
2024-05-06 07:00:00,131.5,131.58,128.46,129.74,530500
2024-05-07 07:00:00,130.38,131.42,128.86,131.18,832900
2024-05-08 07:00:00,130.54,131.42,129.34,129.98,581600
2024-05-09 07:00:00,129.9,135.9,129.58,133.5,840100
2024-05-10 07:00:00,133.74,134.38,130.54,131.58,628100
2024-05-13 07:00:00,132.22,132.22,125.18,128.62,1250600
2024-05-14 07:00:00,128.3,129.82,126.38,129.82,439500
2024-05-15 07:00:00,130.38,132.78,128.22,131.1,460900
2024-05-16 07:00:00,131.26,132.46,129.58,132.46,823100
2024-05-17 07:00:00,132.78,132.78,131.58,132.54,600800
2024-05-20 07:00:00,135.18,136.7,131.66,131.66,996300
2024-05-21 07:00:00,131.18,131.66,129.02,131.18,828000
2024-05-22 07:00:00,131.1,131.58,128.38,129.58,833900
2024-05-23 07:00:00,129.5,129.82,127.02,129.82,786000
2024-05-24 07:00:00,128.06,130.38,124.78,128.78,1254300
2024-05-27 07:00:00,128.78,128.86,126.46,128.62,450500
2024-05-28 07:00:00,128.78,131.1,127.58,129.9,554800
2024-05-29 07:00:00,130.62,132.78,128.78,131.18,1091000
2024-05-30 07:00:00,130.38,132.14,128.86,131.98,744200
2024-05-31 07:00:00,131.98,141.18,131.82,136.38,2071700
2024-06-03 07:00:00,137.58,138.78,136.38,136.46,509900
2024-06-04 07:00:00,137.58,137.98,135.18,136.78,586200
2024-06-05 07:00:00,137.58,138.62,135.02,135.02,917200
2024-06-06 07:00:00,133.98,135.98,133.26,135.18,815700
2024-06-07 07:00:00,134.38,138.06,133.58,135.98,396700
2024-06-10 07:00:00,136.86,139.18,136.22,137.98,800700
2024-06-11 07:00:00,138.46,138.78,136.06,137.98,491500
2024-06-12 07:00:00,136.86,141.42,136.78,140.78,798200
2024-06-13 07:00:00,142.14,142.14,139.58,141.58,568900
2024-06-14 07:00:00,141.1,141.18,138.94,139.18,793700
2024-06-17 07:00:00,139.5,139.98,136.38,139.98,718800
2024-06-18 07:00:00,139.1,139.18,137.58,138.3,539100
2024-06-19 07:00:00,136.94,139.58,136.94,139.18,438700
2024-06-20 07:00:00,137.58,140.14,137.58,140.06,381500
2024-06-21 07:00:00,140.38,146.22,139.9,143.18,1160400
2024-06-24 07:00:00,142.38,143.98,139.98,140.78,482700
2024-06-25 07:00:00,140.86,140.86,137.58,140.78,523700
2024-06-26 07:00:00,141.1,143.98,138.78,143.98,450500
2024-06-27 07:00:00,143.18,144.78,141.58,143.98,384500
2024-06-28 07:00:00,142.46,143.74,140.78,141.58,529800
2024-07-01 07:00:00,140.14,142.22,137.58,141.74,611300
2024-07-02 07:00:00,141.74,143.18,141.5,142.38,313400
2024-07-03 07:00:00,142.38,147.18,142.38,143.18,629200
2024-07-04 07:00:00,143.18,143.9,141.66,143.34,390300
2024-07-05 07:00:00,143.34,145.58,142.22,143.98,542400
2024-07-08 07:00:00,143.18,146.38,142.46,146.38,543300
2024-07-09 07:00:00,146.38,146.38,143.26,145.5,650500
2024-07-10 07:00:00,145.42,145.42,142.78,143.58,561600
2024-07-11 07:00:00,141.82,143.5,141.58,143.18,466100
2024-07-12 07:00:00,141.98,142.38,140.14,140.38,612100
2024-07-15 07:00:00,140.38,140.38,137.58,138.38,674600
2024-07-16 07:00:00,138.38,140.38,137.58,140.38,338400
2024-07-17 07:00:00,139.42,140.38,136.14,139.02,399900
2024-07-18 07:00:00,138.94,139.18,136.54,139.18,469300
2024-07-19 07:00:00,139.18,141.58,138.3,140.78,307400
2024-07-22 07:00:00,140.62,140.7,136.62,140.7,517900
2024-07-23 07:00:00,140.78,140.94,137.18,139.26,392600
2024-07-24 07:00:00,139.18,139.18,131.42,139.18,772000
2024-07-25 07:00:00,132.94,138.06,132.94,137.58,279800
2024-07-26 07:00:00,137.02,137.5,135.18,135.26,231000
2024-07-29 07:00:00,135.98,136.38,133.66,135.9,315000
2024-07-30 07:00:00,135.18,135.42,133.66,135.42,309700
2024-07-31 07:00:00,135.26,138.38,135.26,138.22,397800
2024-08-01 07:00:00,138.06,138.22,133.98,135.98,501700
2024-08-02 07:00:00,132.54,135.9,131.18,135.9,471800
2024-08-05 07:00:00,132.14,133.1,129.98,129.98,722400
2024-08-06 07:00:00,130.38,134.38,128.38,133.5,880200
2024-08-07 07:00:00,133.42,134.86,131.1,134.86,260200
2024-08-08 07:00:00,132.78,135.58,132.78,135.58,327200
2024-08-09 07:00:00,135.18,138.38,134.46,138.3,627500
2024-08-12 07:00:00,138.3,139.82,137.18,139.02,445200
2024-08-13 07:00:00,138.86,140.7,137.74,139.98,652000
2024-08-14 07:00:00,139.98,140.78,137.66,138.38,625600
2024-08-15 07:00:00,138.38,138.38,136.54,137.82,356500
2024-08-16 07:00:00,138.06,142.38,137.02,139.42,664700
2024-08-19 07:00:00,140.06,140.3,138.38,139.18,387500
2024-08-20 07:00:00,139.18,140.78,138.7,140.78,489500
2024-08-21 07:00:00,142.38,150.62,142.38,150.38,2167800
2024-08-22 07:00:00,150.62,151.26,148.54,150.38,528000
2024-08-23 07:00:00,150.38,150.38,146.86,148.62,693900
2024-08-26 07:00:00,148.86,148.86,144.46,146.3,659500
2024-08-27 07:00:00,145.58,145.58,140.78,143.34,1168100
2024-08-28 07:00:00,142.38,143.34,140.94,143.34,377200
2024-08-29 07:00:00,141.02,143.98,141.02,143.98,383500
2024-08-30 07:00:00,143.18,145.34,142.46,145.34,501800
2024-09-04 07:00:00,143.18,146.38,142.78,145.98,379900
2024-09-05 07:00:00,145.98,146.06,143.74,145.98,428200
2024-09-06 07:00:00,144.3,145.9,143.98,145.9,383500
2024-09-09 07:00:00,144.06,145.58,144.06,145.58,293100
2024-09-10 07:00:00,145.5,145.74,144.22,144.78,323500
2024-09-11 07:00:00,143.9,144.38,143.18,144.38,357400
2024-09-12 07:00:00,144.54,144.78,142.46,143.1,515200
2024-09-13 07:00:00,142.86,143.18,141.5,143.18,323000
2024-09-16 07:00:00,143.5,143.5,141.58,141.58,257100
2024-09-17 07:00:00,142.78,142.78,141.02,141.74,240400
