time,open,high,low,close,volume
2023-01-03 07:00:00,14.0,14.7,13.85,14.65,12196900
2023-01-04 07:00:00,14.65,14.7,14.0,14.0,15518400
2023-01-05 07:00:00,14.0,14.25,13.5,13.7,13920700
2023-01-06 07:00:00,13.7,14.4,13.6,13.6,16071600
2023-01-09 07:00:00,13.9,14.25,13.7,13.85,9955100
2023-01-10 07:00:00,14.05,14.15,13.8,13.95,8573200
2023-01-11 07:00:00,14.1,14.9,14.05,14.9,27728800
2023-01-12 07:00:00,15.2,15.7,14.7,14.95,14837200
2023-01-13 07:00:00,15.2,15.2,14.25,14.3,14470700
2023-01-16 07:00:00,14.3,14.35,13.65,13.65,16750700
2023-01-17 07:00:00,13.9,14.1,13.7,14.0,10048000
2023-01-18 07:00:00,14.1,14.25,14.0,14.15,11194300
2023-01-19 07:00:00,14.15,14.2,13.95,14.05,12471600
2023-01-27 07:00:00,14.0,14.3,13.85,13.95,11683400
2023-01-30 07:00:00,13.95,14.45,13.65,13.95,14013000
2023-01-31 07:00:00,14.3,14.4,14.05,14.2,10527100
2023-02-01 07:00:00,14.35,15.15,14.3,14.55,33621600
2023-02-02 07:00:00,14.85,14.85,14.05,14.2,11459500
2023-02-03 07:00:00,14.45,14.95,14.3,14.95,20302600
2023-02-06 07:00:00,14.9,15.75,14.6,15.4,19860100
2023-02-07 07:00:00,15.35,15.6,14.55,14.6,20041100
2023-02-08 07:00:00,14.8,14.9,13.9,14.3,13711500
2023-02-09 07:00:00,14.35,14.5,14.0,14.15,8497700
2023-02-10 07:00:00,14.15,14.2,13.7,13.75,10982400
2023-02-13 07:00:00,12.8,13.2,12.8,12.8,19944900
2023-02-14 07:00:00,11.95,12.3,11.95,11.95,10408000
2023-02-15 07:00:00,11.15,11.85,11.15,11.15,51758200
2023-02-16 07:00:00,11.5,11.5,11.25,11.5,13050800
2023-02-17 07:00:00,11.6,12.25,11.2,11.65,23503600
2023-02-20 07:00:00,11.85,12.45,11.8,12.45,24434100
2023-02-21 07:00:00,12.95,13.3,12.75,12.85,27957900
2023-02-22 07:00:00,12.3,12.55,12.0,12.0,27143800
2023-02-23 07:00:00,11.8,11.9,11.2,11.8,16251500
2023-02-24 07:00:00,11.95,12.1,11.4,11.4,10368500
2023-02-27 07:00:00,11.6,11.6,10.75,10.75,14176200
2023-02-28 07:00:00,10.9,11.0,10.6,10.6,7137900
2023-03-01 07:00:00,10.55,10.6,10.05,10.25,10138900
2023-03-02 07:00:00,10.25,10.65,10.25,10.35,7211100
2023-03-03 07:00:00,10.6,10.6,10.15,10.35,7119200
2023-03-06 07:00:00,11.05,11.05,11.0,11.05,13570600
2023-03-07 07:00:00,11.4,11.55,10.8,10.85,15777300
2023-03-08 07:00:00,10.75,11.15,10.55,11.05,14532500
2023-03-09 07:00:00,11.15,11.2,10.85,10.95,7485000
2023-03-10 07:00:00,10.8,10.9,10.6,10.65,7732800
2023-03-13 07:00:00,10.65,11.2,10.6,11.0,14769100
2023-03-14 07:00:00,11.0,11.15,10.65,10.7,10233600
2023-03-15 07:00:00,11.0,11.35,10.9,11.35,15165000
2023-03-16 07:00:00,11.1,11.35,11.05,11.15,9368400
2023-03-17 07:00:00,11.35,11.5,11.15,11.5,18243000
2023-03-20 07:00:00,11.45,11.5,11.05,11.1,9860500
2023-03-21 07:00:00,11.25,11.25,10.9,11.05,7857600
2023-03-22 07:00:00,11.25,11.25,11.05,11.1,5710100
2023-03-23 07:00:00,11.0,11.15,10.9,11.15,3531400
2023-03-24 07:00:00,11.2,11.9,11.1,11.9,30508100
2023-03-27 07:00:00,12.3,12.7,12.1,12.7,24335800
2023-03-28 07:00:00,12.95,13.3,12.6,12.6,30738800
2023-03-29 07:00:00,12.45,12.75,12.4,12.55,10741200
2023-03-30 07:00:00,12.75,13.15,12.6,12.8,21984600
2023-03-31 07:00:00,12.95,12.95,12.65,12.7,9310800
2023-04-03 07:00:00,12.9,13.25,12.7,12.85,32850500
2023-04-04 07:00:00,12.9,12.9,12.65,12.75,16611600
2023-04-05 07:00:00,12.8,13.3,12.75,12.85,30626500
2023-04-06 07:00:00,13.25,13.7,13.05,13.25,47112800
2023-04-07 07:00:00,13.4,13.5,13.1,13.4,18838000
2023-04-10 07:00:00,13.65,13.9,13.25,13.3,23841600
2023-04-11 07:00:00,13.15,14.2,12.65,14.2,63469800
2023-04-12 07:00:00,14.8,15.15,14.5,15.05,51451000
2023-04-13 07:00:00,15.05,15.05,14.3,14.5,32755100
2023-04-14 07:00:00,14.55,14.95,14.15,14.2,33865700
2023-04-17 07:00:00,14.45,14.8,14.3,14.8,16812000
2023-04-18 07:00:00,14.9,15.2,14.35,14.85,26449300
2023-04-19 07:00:00,15.0,15.35,14.55,14.55,33905800
2023-04-20 07:00:00,14.55,14.6,14.3,14.4,11352800
2023-04-21 07:00:00,14.4,14.45,13.55,13.6,31618400
2023-04-24 07:00:00,13.7,14.15,13.2,14.05,22010400
2023-04-25 07:00:00,14.3,14.35,13.7,13.75,13984600
2023-04-26 07:00:00,13.7,14.0,13.5,13.95,11138100
2023-04-27 07:00:00,13.95,14.4,13.8,14.1,23420100
2023-04-28 07:00:00,14.4,14.6,14.15,14.3,19525200
2023-05-04 07:00:00,13.85,14.0,13.5,13.55,28428400
2023-05-05 07:00:00,13.5,13.55,13.15,13.55,19528400
2023-05-08 07:00:00,13.5,13.5,12.95,12.95,38217300
2023-05-09 07:00:00,13.0,13.25,12.95,13.0,15190500
2023-05-10 07:00:00,13.15,13.5,13.1,13.3,13976800
2023-05-11 07:00:00,13.45,13.95,13.45,13.8,20591300
