time,open,high,low,close,volume
2022-11-07,44.03,44.09,41.26,43.09,1066040
2022-11-08,42.27,43.91,41.83,43.91,365246
2022-11-09,44.28,44.28,43.4,43.4,231230
2022-11-10,42.52,43.28,40.38,42.77,960173
2022-11-11,43.34,43.59,41.83,43.53,502043
2022-11-14,41.64,43.53,41.45,43.15,348954
2022-11-15,42.14,43.34,40.13,40.13,470666
2022-11-16,37.36,42.84,37.36,42.4,803771
2022-11-17,42.71,43.4,42.33,43.15,541043
2022-11-18,42.77,43.47,41.52,43.4,429147
2022-11-21,43.34,44.16,43.28,43.72,367424
2022-11-22,43.53,44.35,43.21,44.03,560543
2022-11-23,44.03,44.35,43.09,44.16,166803
2022-11-24,44.16,44.16,43.15,43.91,205022
2022-11-25,44.03,44.41,43.72,44.28,308015
2022-11-28,44.66,45.92,44.03,45.6,382297
2022-11-29,46.55,46.55,44.66,45.86,364853
2022-11-30,45.67,46.55,45.54,46.55,366292
2022-12-01,46.86,47.18,45.42,46.86,402099
2022-12-02,46.8,49.06,45.79,49.06,533381
2022-12-05,49.13,50.32,49.06,49.94,362405
2022-12-06,49.88,50.51,47.49,49.06,351424
2022-12-07,49.06,49.38,47.81,48.69,444513
2022-12-08,49.13,49.38,48.31,48.69,319199
2022-12-09,48.69,50.95,47.81,50.32,990327
2022-12-12,50.38,50.51,49.38,50.32,290139
2022-12-13,50.32,50.32,48.43,49.69,394240
2022-12-14,50.01,50.01,48.69,48.94,454089
2022-12-15,49.0,49.0,48.06,48.56,417792
2022-12-16,47.81,49.69,47.81,49.69,601942
2022-12-19,49.5,49.5,48.5,48.5,241037
2022-12-20,47.93,48.37,45.92,47.43,351787
2022-12-21,47.24,47.24,45.29,46.23,248513
2022-12-22,46.17,46.42,45.29,46.23,164255
2022-12-23,46.17,47.81,45.29,46.48,333293
2022-12-26,46.48,46.48,43.91,44.22,544506
2022-12-27,44.09,45.29,43.53,45.29,157439
2022-12-28,45.29,45.35,44.66,45.16,875365
2022-12-29,45.1,45.29,44.66,45.16,494411
2022-12-30,44.79,45.67,44.79,44.97,316875
2023-01-03,44.85,46.42,44.85,45.6,276158
2023-01-04,46.23,46.23,45.42,45.98,213149
2023-01-05,45.73,46.86,45.73,46.86,393921
2023-01-06,46.42,46.86,45.92,46.74,153430
2023-01-09,46.8,47.05,45.6,46.17,231128
2023-01-10,46.23,46.36,45.29,45.29,422245
2023-01-11,45.29,46.04,45.16,45.6,221402
2023-01-12,45.92,45.92,45.1,45.6,127275
2023-01-13,45.6,45.73,45.1,45.16,228233
2023-01-16,45.35,45.42,44.6,44.6,223796
2023-01-17,44.6,44.72,43.4,43.4,704291
2023-01-18,43.97,44.22,42.84,43.47,575585
2023-01-19,43.84,44.35,43.59,43.97,283734
2023-01-27,44.97,46.42,44.66,45.6,640587
2023-01-30,45.6,47.43,45.6,46.23,1107748
2023-01-31,46.92,47.43,46.3,46.92,478740
2023-02-01,47.18,47.49,45.79,45.98,439190
2023-02-02,45.98,46.23,44.97,45.54,320750
2023-02-03,45.6,45.86,44.35,44.35,1212182
2023-02-06,44.66,45.86,44.53,45.86,312789
