CP,Năm,Kỳ,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định vô hình,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,Vốn góp của chủ sở hữu (đồng),Các quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
VCB,2025,3,2378185628000000,12909550000000,56577155000000,497858712000000,5251130000000,5307342000000,-56212000000,0,1595933982000000,1629942508000000,-34008526000000,165634799000000,135556078000000,30320838000000,-242117000000,2418879000000,0,904790000000,1589089000000,-75000000000,8141017000000,5671432000000,2469585000000,33460404000000,2378185628000000,2155394083000000,162585347000000,317172542000000,1611966698000000,28651000000,2000000,23085140000000,40555703000000,222791545000000,89361977000000,37060181000000,-912953000000,0,97169628000000,0,83556751000000,809837000000,112712000000
VCB,2025,2,2217636600000000,14790170000000,37686004000000,432541459000000,7992828000000,8031786000000,-38958000000,0,1522462472000000,1555769476000000,-33307004000000,162434366000000,128742046000000,33936124000000,-243804000000,2314396000000,0,860474000000,1528922000000,-75000000000,7967792000000,5487426000000,2480366000000,29447113000000,2217636600000000,2003887178000000,99737152000000,258784288000000,1586682675000000,47261000000,2000000,24165140000000,34470660000000,213749422000000,89361977000000,37060591000000,-926111000000,0,88145614000000,0,83556751000000,809837000000,107351000000
VCB,2025,1,2109260616000000,13713225000000,28020997000000,410587576000000,8417843000000,8448472000000,-30629000000,0,1433896493000000,1466390536000000,-32494043000000,176979243000000,108816448000000,68407949000000,-245154000000,2268608000000,0,814686000000,1528922000000,-75000000000,8015849000000,5494709000000,2521140000000,27360782000000,2109260616000000,1904318782000000,125298467000000,222764271000000,1509113389000000,306420000000,2000000,14165059000000,32671174000000,204941834000000,89361977000000,37052974000000,-951532000000,0,79376463000000,0,83556751000000,809837000000,101952000000
VCB,2024,4,2085873522000000,14268064000000,49340493000000,389951898000000,4876237000000,4908527000000,-32290000000,1314434000000,1418015724000000,1449198899000000,-31183175000000,167383349000000,86799901000000,80829540000000,-246092000000,2228098000000,0,774176000000,1528922000000,-75000000000,8092877000000,5530579000000,2562298000000,30402348000000,2085873522000000,1889664354000000,78237337000000,234533958000000,1514664850000000,0,529000000,24125059000000,38102621000000,196209168000000,61696139000000,37052974000000,-968292000000,0,98332086000000,0,55890913000000,809837000000,96261000000
VCB,2024,3,1932361908000000,13157642000000,13749051000000,316566672000000,4146191000000,4169191000000,-23000000000,0,1366088234000000,1401151675000000,-35063441000000,170417002000000,83014181000000,87654538000000,-251717000000,2119005000000,0,732508000000,1528922000000,-142425000000,8026692000000,5467042000000,2559650000000,38091419000000,1932361908000000,1742064907000000,36293273000000,217260367000000,1430071020000000,116988000000,2000000,26901267000000,31421990000000,190297001000000,61696139000000,27453485000000,-1031752000000,0,102068366000000,0,55890913000000,809837000000,110763000000
VCB,2024,2,1905638840000000,12950279000000,35735832000000,316589542000000,2432382000000,2457691000000,-25309000000,510955000000,1334761763000000,1369645310000000,-34883547000000,166831595000000,75795936000000,91200503000000,-164844000000,2086502000000,0,700005000000,1528922000000,-142425000000,7716515000000,5170802000000,2545713000000,26023475000000,1905638840000000,1723936055000000,66987719000000,218637742000000,1374683432000000,0,6000000,26901433000000,36725723000000,181702785000000,61696139000000,27453885000000,-950182000000,0,93397205000000,0,55890913000000,809837000000,105738000000
VCB,2024,1,1773713584000000,12915997000000,37836619000000,273301211000000,2936121000000,2956813000000,-20692000000,0,1235587240000000,1266477925000000,-30890685000000,174371785000000,91847588000000,82689041000000,-164844000000,2256391000000,0,869671000000,1529145000000,-142425000000,7588707000000,5046502000000,2542205000000,26919513000000,1773713584000000,1600099458000000,4140563000000,171488381000000,1347325611000000,91370000000,1000000,29904958000000,47148574000000,173614126000000,61696139000000,27447103000000,-960392000000,0,85330720000000,0,55890913000000,809837000000,100556000000
VCB,2023,4,1839223339000000,14504849000000,58104503000000,335616377000000,2495408000000,2511395000000,-15987000000,0,1241675333000000,1270359018000000,-28683685000000,145780067000000,67882480000000,78009747000000,-112160000000,2224945000000,0,838225000000,1529145000000,-142425000000,7708181000000,5115612000000,2592569000000,31113676000000,1839223339000000,1670680015000000,1670837000000,213841980000000,1395694611000000,117752000000,365000000,19912623000000,39441847000000,168543324000000,61696139000000,22562445000000,-983237000000,0,85173987000000,0,55890913000000,809837000000,93990000000
VCB,2023,3,1731305572000000,13913670000000,29312980000000,320952135000000,1735874000000,1754272000000,-18398000000,0,1150958460000000,1189830550000000,-38872090000000,178723851000000,102650493000000,76486963000000,-413605000000,2205920000000,0,794774000000,1529145000000,-117999000000,7441794000000,4812476000000,2629318000000,26060888000000,1731305572000000,1572062054000000,2517462000000,160234123000000,1349007010000000,899053000000,725000000,15277866000000,44125815000000,159243518000000,61696139000000,22562989000000,-934636000000,0,75814366000000,0,55890913000000,809837000000,104660000000
VCB,2023,2,1704273133000000,16134106000000,56430924000000,286406768000000,1375964000000,1394711000000,-18747000000,217428000000,1139981404000000,1177728457000000,-37747053000000,156871470000000,65672102000000,91277142000000,-77774000000,2248021000000,0,836875000000,1529145000000,-117999000000,7598470000000,4918188000000,2680282000000,37008578000000,1704273133000000,1552272005000000,2270345000000,160661447000000,1326853836000000,0,1088000000,16323830000000,46161459000000,152001128000000,53130392000000,22564054000000,-886284000000,0,77094650000000,0,47325166000000,809837000000,98316000000
VCB,2023,1,1846431290000000,15537950000000,139256635000000,334747844000000,1595430000000,1618113000000,-22683000000,224625000000,1142187065000000,1174080964000000,-31893899000000,174526186000000,77663390000000,96941064000000,-78268000000,2221085000000,0,809939000000,1529145000000,-117999000000,7732058000000,5015683000000,2716375000000,28402412000000,1846431290000000,1701772932000000,62167768000000,255334468000000,1281487916000000,0,2186000000,27337890000000,75442704000000,144658358000000,53130392000000,22556829000000,-842553000000,0,69719946000000,0,47325166000000,809837000000,93744000000
VCB,2022,4,1814188209000000,18348519000000,92557809000000,313591813000000,1499687000000,1543575000000,-43888000000,156515000000,1120286831000000,1145066250000000,-24779419000000,196171212000000,100739669000000,95513376000000,-81833000000,2193516000000,0,782370000000,1529145000000,-117999000000,7985401000000,5170083000000,2815318000000,61396906000000,1814188209000000,1676199767000000,67314816000000,232510850000000,1243468472000000,0,3298000000,25337894000000,107564437000000,137988442000000,53130392000000,18133039000000,-863071000000,0,67499703000000,0,47325166000000,809837000000,88379000000
VCB,2022,3,1649664327000000,16293080000000,11378539000000,302927159000000,1347762000000,1407066000000,-59304000000,0,1093971420000000,1130144001000000,-36172581000000,177219709000000,87411490000000,89896772000000,-88553000000,2217065000000,0,762920000000,1529145000000,-75000000000,7820512000000,5060100000000,2760412000000,36489081000000,1649664327000000,1521274777000000,93953298000000,179758633000000,1197150901000000,120079000000,4385000000,14698727000000,35588754000000,128389550000000,53130392000000,18122983000000,-741021000000,0,57774989000000,0,47325166000000,809837000000,102207000000
VCB,2022,2,1601680964000000,15097807000000,28813961000000,255536982000000,3150052000000,3187225000000,-37173000000,0,1066990245000000,1100852163000000,-33861918000000,191407933000000,101203452000000,90293045000000,-88564000000,2380804000000,0,796207000000,1659597000000,-75000000000,8103519000000,5249947000000,2853572000000,30199661000000,1601680964000000,1478691267000000,61020549000000,171676891000000,1195391576000000,19457000000,5485000000,14367033000000,36210276000000,122989697000000,52665213000000,18171942000000,-1782000000,0,52056550000000,0,47325166000000,344658000000,97774000000
VCB,2022,1,1462748158000000,14868054000000,38888399000000,194999348000000,3297566000000,3372631000000,-75065000000,0,997707933000000,1028899744000000,-31191811000000,171953037000000,75001289000000,97125603000000,-173855000000,2366013000000,0,781416000000,1659597000000,-75000000000,8344847000000,5386077000000,2958770000000,30322961000000,1462748158000000,1345670470000000,36310440000000,81277695000000,1179668881000000,5215000000,6585000000,17380178000000,31021476000000,117077688000000,52665213000000,18173014000000,-9856000000,0,46156897000000,0,47325166000000,344658000000,92420000000
VCB,2021,4,1414765480000000,18011766000000,22506711000000,225394684000000,2766098000000,2822531000000,-56433000000,303202000000,934774287000000,960749955000000,-25975668000000,170604700000000,71122502000000,99657595000000,-175397000000,2346176000000,0,759715000000,1661461000000,-75000000000,8626043000000,5552624000000,3073419000000,29431813000000,1414765480000000,1303594825000000,9468116000000,109757777000000,1135323913000000,0,7707000000,17387747000000,31649565000000,111170655000000,42428821000000,14977015000000,-4809000000,0,53682515000000,0,37088774000000,344658000000,87113000000
VCB,2021,3,1385235404000000,13356519000000,60969106000000,204916285000000,3583497000000,3621712000000,-38215000000,259485000000,909910950000000,936342968000000,-26432018000000,157248652000000,55437932000000,102404130000000,-593410000000,2391940000000,0,795615000000,1671325000000,-75000000000,8177405000000,5276646000000,2900759000000,24421565000000,1385235404000000,1275708552000000,8709185000000,106138767000000,1108418876000000,0,8784000000,21378159000000,31054781000000,109526852000000,42428821000000,14919178000000,-4418000000,0,52084482000000,0,37088774000000,344658000000,98789000000
