CP,Năm,Kỳ,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu
VCB,2025,3,26713295000000,0.15187145027176674,9020499000000,0.052984977233669656,26713295000000,-12056055000000,14657240000000,3028260000000,-2089925000000,938335000000,1279521000000,106423000000,0,1159760000000,-227990000000,931770000000,138839000000,18052128000000,-6037436000000,12014692000000,-775587000000,11239105000000,-2213552000000,-2216968000000,3416000000,-5054000000,9025553000000,9020499000000,1080
VCB,2025,2,25217499000000,0.10299707729272828,8831885000000,0.08774906661983242,25217499000000,-11057307000000,14160192000000,2810503000000,-1949559000000,860944000000,1635290000000,-2625000000,3616000000,1415156000000,-262228000000,1152928000000,57892000000,17868237000000,-6024732000000,11843505000000,-809590000000,11033915000000,-2196544000000,-2198412000000,1868000000,-5486000000,8837371000000,8831885000000,1057
VCB,2025,1,24574904000000,0.023116230621082895,8696229000000,0.01354697601257623,24574904000000,-10887751000000,13687153000000,2727520000000,-1921556000000,805964000000,2023940000000,36488000000,0,1017049000000,-354171000000,662878000000,48303000000,17264726000000,-5652437000000,11612289000000,-752356000000,10859933000000,-2158207000000,-2158599000000,392000000,-5497000000,8701726000000,8696229000000,1041
VCB,2024,4,23581262000000,-0.06042479993557999,8565378000000,-0.08440895835030282,23581262000000,-9738930000000,13842332000000,3368816000000,-2445033000000,923783000000,1586183000000,4472000000,2735000000,1833975000000,-549322000000,1284653000000,66378000000,17710536000000,-7040188000000,10670348000000,32329000000,10702677000000,-2132756000000,-2274403000000,141647000000,-4543000000,8569921000000,8565378000000,1050
VCB,2024,3,23191212000000,-0.12526943046964503,8566598000000,0.17852434454146482,23191212000000,-9613576000000,13577636000000,3263776000000,-1991516000000,1272260000000,1347041000000,36148000000,-1145000000,903341000000,-348724000000,554617000000,49396000000,16835953000000,-5811433000000,11024520000000,-325576000000,10698944000000,-2126450000000,-2126192000000,-258000000,-5896000000,8572494000000,8566598000000,1533
VCB,2024,2,22862707000000,-0.20676775976693806,8119414000000,0.09384448477351541,22862707000000,-8954996000000,13907711000000,3329645000000,-1830691000000,1498954000000,1160896000000,-1324000000,1854000000,841663000000,-817277000000,24386000000,159132000000,16751609000000,-5121793000000,11629816000000,-1513541000000,10116275000000,-1991566000000,-1992320000000,754000000,-5295000000,8124709000000,8119414000000,1453
VCB,2024,1,24019660000000,-0.132547028931519,8579996000000,-0.045228057622405324,24019660000000,-9941604000000,14078056000000,3180768000000,-1739204000000,1441564000000,1197631000000,22827000000,0,889827000000,-381780000000,508047000000,32273000000,17280398000000,-5053949000000,12226449000000,-1508210000000,10718239000000,-2132246000000,-2133581000000,1335000000,-5997000000,8585993000000,8579996000000,1535
VCB,2023,4,25097791000000,-0.01708680635418842,9355026000000,-0.057739223029333285,25097791000000,-12296567000000,12801224000000,3898648000000,-2088396000000,1810252000000,892534000000,-6214000000,0,1106147000000,-695656000000,410491000000,50548000000,15958835000000,-5752034000000,10206801000000,1486696000000,11693497000000,-2333464000000,-2229602000000,-103862000000,-5007000000,9360033000000,9355026000000,1674
VCB,2023,3,26512406000000,0.17470438329230142,7268919000000,0.19852841033690746,26512406000000,-13916288000000,12596118000000,2613930000000,-1722918000000,891012000000,1581192000000,41527000000,61000000,872730000000,-351966000000,520764000000,146603000000,15777277000000,-5232506000000,10544771000000,-1493607000000,9051164000000,-1776608000000,-1775588000000,-1020000000,-5637000000,7274556000000,7268919000000,1301
VCB,2023,2,28822211000000,0.3943281225486537,7422823000000,0.25027463578124404,28822211000000,-14801630000000,14020581000000,3236417000000,-1614304000000,1622113000000,1480628000000,59001000000,-61000000,626392000000,-368253000000,258139000000,29775000000,17470176000000,-5656105000000,11814071000000,-2536389000000,9277682000000,-1849724000000,-1848850000000,-874000000,-5135000000,7427958000000,7422823000000,1568
VCB,2023,1,27689870000000,0.4318782902910284,8986435000000,0.1286394536976287,27689870000000,-13486924000000,14202946000000,2883744000000,-1427398000000,1456346000000,1705674000000,29903000000,0,1444875000000,-362100000000,1082775000000,39530000000,18517174000000,-5274254000000,13242920000000,-2021576000000,11221344000000,-2229443000000,-2225361000000,-4082000000,-5466000000,8991901000000,8986435000000,1899
VCB,2022,4,25534087000000,0.4233621009363978,9928277000000,0.5181343798912136,25534087000000,-10724618000000,14809469000000,4124029000000,-1792687000000,2331342000000,1187847000000,4042000000,-1965000000,721538000000,-421945000000,299593000000,32313000000,18662641000000,-4564916000000,14097725000000,-1678630000000,12419095000000,-2485576000000,-3407375000000,921799000000,-5242000000,9933519000000,9928277000000,2098
VCB,2022,3,22569428000000,0.279450673743941,6064870000000,0.3201346065522743,22569428000000,-8905477000000,13663951000000,2598204000000,-1495935000000,1102269000000,1587018000000,-154388000000,-1155000000,616998000000,-227533000000,389465000000,127264000000,16714424000000,-6370005000000,10344419000000,-2778197000000,7566222000000,-1496778000000,-1501418000000,4640000000,-4574000000,6069444000000,6064870000000,1282
VCB,2022,2,20671039000000,0.15858440992568282,5936954000000,0.4991910568027868,20671039000000,-7873833000000,12797206000000,1989373000000,-1294744000000,694629000000,1471713000000,18628000000,84879000000,1013546000000,-132605000000,880941000000,24345000000,15972341000000,-5815802000000,10156539000000,-2733452000000,7423087000000,-1481156000000,-1478285000000,-2871000000,-4977000000,5941931000000,5936954000000,1255
