time,open,high,low,close,volume
2023-01-03 07:00:00,52.94,55.14,52.64,54.69,1342900
2023-01-04 07:00:00,55.07,55.83,54.16,54.16,409600
2023-01-05 07:00:00,54.23,54.69,53.55,54.08,280100
2023-01-06 07:00:00,54.38,54.46,51.35,52.79,471100
2023-01-09 07:00:00,52.86,53.32,52.03,52.1,210400
2023-01-10 07:00:00,52.1,52.1,50.66,51.35,307900
2023-01-11 07:00:00,51.35,52.1,51.35,51.42,192500
2023-01-12 07:00:00,52.03,54.16,51.27,53.09,384400
2023-01-13 07:00:00,53.55,53.55,52.41,52.41,255600
2023-01-16 07:00:00,52.18,52.79,52.1,52.26,273000
2023-01-17 07:00:00,53.02,53.02,51.8,52.18,356900
2023-01-18 07:00:00,52.18,52.56,51.65,52.26,216600
2023-01-19 07:00:00,52.33,53.85,52.33,53.17,484200
2023-01-27 07:00:00,53.4,53.93,52.86,52.86,347300
2023-01-30 07:00:00,52.48,53.85,52.48,52.94,536600
2023-01-31 07:00:00,53.09,54.54,53.09,53.85,876100
2023-02-01 07:00:00,54.31,54.46,52.03,52.18,684600
2023-02-02 07:00:00,52.41,52.41,50.89,50.89,470400
2023-02-03 07:00:00,50.89,51.8,50.74,51.65,277500
2023-02-06 07:00:00,52.1,52.56,51.65,52.1,138000
2023-02-07 07:00:00,52.1,53.02,50.89,50.89,486400
2023-02-08 07:00:00,51.5,51.57,48.69,49.67,658800
2023-02-09 07:00:00,50.36,52.18,49.98,51.65,513600
2023-02-10 07:00:00,52.26,52.26,49.52,50.59,164000
2023-02-13 07:00:00,50.59,50.59,47.09,47.09,577900
2023-02-14 07:00:00,47.93,48.69,47.7,48.15,414100
2023-02-15 07:00:00,47.85,48.91,47.78,48.46,161900
2023-02-16 07:00:00,48.46,48.84,48.15,48.53,107100
2023-02-17 07:00:00,48.61,49.07,48.31,48.69,112200
2023-02-20 07:00:00,49.07,49.37,48.31,49.37,338700
2023-02-21 07:00:00,49.9,50.66,48.84,48.99,274900
2023-02-22 07:00:00,48.91,48.99,47.62,47.62,298500
2023-02-23 07:00:00,47.55,47.62,44.81,45.57,591700
2023-02-24 07:00:00,46.86,46.86,44.89,45.27,258100
2023-02-27 07:00:00,45.19,45.19,42.46,42.53,457400
2023-02-28 07:00:00,42.69,44.51,41.93,42.53,555300
2023-03-01 07:00:00,42.61,43.45,42.23,43.37,423900
2023-03-02 07:00:00,43.6,43.83,42.91,42.99,107000
2023-03-03 07:00:00,42.84,43.6,42.84,43.22,264300
2023-03-06 07:00:00,43.22,43.67,42.08,42.84,326700
2023-03-07 07:00:00,42.91,42.91,41.93,42.23,390700
2023-03-08 07:00:00,42.23,42.23,40.64,42.15,252800
2023-03-09 07:00:00,42.15,43.07,42.15,42.91,308000
2023-03-10 07:00:00,42.23,43.6,42.23,43.22,334800
2023-03-13 07:00:00,42.76,42.91,42.46,42.53,316600
2023-03-14 07:00:00,42.69,42.76,41.02,41.77,415800
2023-03-15 07:00:00,42.15,42.91,41.77,42.76,446700
