CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
VHM,2025,3,436436596000000,48767614000000,2116747000000,218408164000000,125608165000000,41535906000000,331827957000000,10859889000000,18119705000000,16221717000000,12435017000000,127848067000000,768264553000000,533334874000000,329506259000000,203828615000000,234929679000000,234929679000000,0,181864292000000,17630561000000,768264553000000,54859079000000,14508677000000,125689997000000,37298399000000,41074120000000,41074120000000,93117003000000,100841103000000,48372781000000,331731000000,4044605000000,12222095000000,61344541000000,72204430000000
VHM,2025,2,387915470000000,48671892000000,3437044000000,214264630000000,80555168000000,40986736000000,265891354000000,19389313000000,17393991000000,15205122000000,12495673000000,62935067000000,653806824000000,423301025000000,286758448000000,136542577000000,230505799000000,230505799000000,0,177669489000000,17401484000000,653806824000000,41766680000000,14857073000000,80629689000000,37649283000000,41074120000000,41074120000000,42850814000000,47943400000000,47550488000000,368805000000,3765271000000,12284236000000,60755882000000,80145195000000
VHM,2025,1,259860077000000,21492706000000,3346766000000,149281209000000,55672832000000,30066564000000,301643481000000,17988808000000,14474497000000,16787442000000,12502754000000,51189580000000,561503558000000,338107549000000,237524644000000,100582905000000,223396009000000,223396009000000,0,169894769000000,18071414000000,561503558000000,35921181000000,440996000000,55730707000000,27309584000000,41074120000000,41074120000000,54525866000000,43294133000000,33423836000000,444157000000,2827698000000,12294236000000,105500607000000,123489415000000
VHM,2024,4,285478928000000,28780123000000,5391872000000,168405984000000,54696048000000,28204901000000,278730432000000,10896805000000,14622184000000,16916463000000,12519070000000,45011920000000,564209360000000,343465385000000,278532295000000,64933090000000,220743975000000,220743975000000,0,167205815000000,18108334000000,564209360000000,23593399000000,8429883000000,54753923000000,25843774000000,41074120000000,41074120000000,47015689000000,40286424000000,34276497000000,481878000000,2875918000000,12294236000000,96773515000000,107670320000000
VHM,2024,3,302730495000000,20621483000000,3802114000000,187108837000000,57981046000000,33217015000000,221953857000000,4509196000000,17352385000000,17237951000000,9736355000000,47595558000000,524684352000000,308718618000000,246563570000000,62155048000000,215965734000000,215965734000000,0,154216100000000,15834620000000,524684352000000,20586548000000,10503541000000,58034209000000,29804229000000,43543675000000,43543675000000,47969250000000,49421223000000,24201679000000,520728000000,2701347000000,9513399000000,45159183000000,49668379000000
VHM,2024,2,259728446000000,17179976000000,3673995000000,145799709000000,58659923000000,34414843000000,233721916000000,10930572000000,12268758000000,19830562000000,10374902000000,51240776000000,493450362000000,286518100000000,227951712000000,58566388000000,206932262000000,206932262000000,0,146351374000000,14665874000000,493450362000000,20207313000000,1468250000000,58712830000000,31533354000000,43543675000000,43543675000000,44599750000000,47710091000000,25901229000000,559203000000,2611669000000,10158325000000,55522548000000,66453120000000
VHM,2024,1,255295711000000,9524619000000,3629316000000,152936619000000,58756231000000,30448926000000,209188983000000,240000000000,10972789000000,17632901000000,8021445000000,71593584000000,464484694000000,268268453000000,214974936000000,53293517000000,196216241000000,196216241000000,0,136335857000000,13970370000000,464484694000000,16571862000000,17774275000000,58808531000000,27620229000000,43543675000000,43543675000000,39496110000000,43551036000000,24400865000000,597677000000,1863562000000,7831546000000,33342332000000,33582332000000
VHM,2023,4,240250006000000,14104131000000,3832848000000,126607372000000,52342813000000,43362842000000,207110770000000,1050800000000,11731171000000,17931541000000,7760265000000,71653840000000,447360776000000,264991288000000,214020096000000,50971192000000,182369488000000,182369488000000,0,133124962000000,3334512000000,447360776000000,17197498000000,4944650000000,52379650000000,41001850000000,43543675000000,43543675000000,38393923000000,54503801000000,18289641000000,636151000000,1645894000000,7624903000000,33012930000000,34063730000000
VHM,2023,3,215057869000000,2909914000000,4638593000000,121815245000000,55103757000000,30590360000000,201981605000000,4135750000000,12051633000000,18977835000000,7323414000000,63978562000000,417039474000000,236174964000000,196258996000000,39915968000000,180864510000000,180864510000000,0,132283582000000,3296288000000,417039474000000,17038457000000,17108362000000,55168949000000,27484755000000,43543675000000,43543675000000,29488390000000,38103070000000,13637750000000,1049517000000,2041088000000,7097406000000,32658870000000,36794620000000
VHM,2023,2,190310276000000,5105284000000,4332267000000,107914098000000,55700371000000,17258256000000,201020262000000,16310449000000,10095671000000,18419445000000,7372380000000,62799190000000,391330538000000,221147885000000,185305307000000,35842578000000,170182653000000,170182653000000,0,121583083000000,3267508000000,391330538000000,15314563000000,3167313000000,55782923000000,13855802000000,43543675000000,43543675000000,25988263000000,49290769000000,17380568000000,1101546000000,2135268000000,7094305000000,31130923000000,47441372000000
VHM,2023,1,205327661000000,1889644000000,6721768000000,117198683000000,60946992000000,18570574000000,172294006000000,1276000000000,9163042000000,17100320000000,7603129000000,59200256000000,377621667000000,217203532000000,190748131000000,26455401000000,160418135000000,160418135000000,0,111914769000000,3225892000000,377621667000000,14783310000000,14010339000000,61005199000000,14203126000000,43543675000000,43543675000000,21320072000000,56809803000000,18378828000000,1153010000000,2015286000000,7094305000000,22085881000000,23361881000000
VHM,2022,4,185196368000000,10812720000000,3928457000000,77325507000000,65816129000000,27313555000000,176007330000000,1568000000000,9245788000000,16176769000000,7492106000000,59071661000000,361203698000000,212799760000000,187128409000000,25671351000000,148403938000000,148403938000000,0,99342539000000,3781759000000,361203698000000,15497701000000,5039856000000,65871394000000,21205057000000,43543675000000,43543675000000,21006302000000,62336909000000,15170840000000,1203909000000,1656662000000,7625468000000,20301980000000,21869980000000
VHM,2022,3,179330798000000,14743348000000,1171529000000,81793532000000,54628205000000,26994184000000,162270417000000,340000000000,8862564000000,16681766000000,11734203000000,48211712000000,341601215000000,201469484000000,178927848000000,22541636000000,140131731000000,140131731000000,0,90383655000000,4415023000000,341601215000000,14899638000000,6052056000000,54667856000000,19920853000000,43543675000000,43543675000000,18568972000000,60421311000000,21583456000000,1255938000000,1612425000000,8094674000000,16956966000000,17296966000000
VHM,2022,2,181594498000000,29813549000000,3799199000000,59954849000000,57189556000000,30837345000000,137510832000000,936343000000,8237918000000,16874929000000,11846090000000,30235315000000,319105330000000,189596618000000,173121096000000,16475522000000,129508712000000,129508712000000,0,75756844000000,8418815000000,319105330000000,11390830000000,4457056000000,57273200000000,27107853000000,43543675000000,43543675000000,12633753000000,49016210000000,19227213000000,1307833000000,1616975000000,8089674000000,16258637000000,17194980000000
