CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
VHM,2025,3,-0.5072501866720731,16419972000000,4183929000000,-0.46810461380040236,7899526000000,-2699135000000,16419972000000,16419972000000,-13954311000000,2465661000000,-3447484000000,930000000,-447836000000,-1230670000000,5240127000000,579105000000,-398859000000,180246000000,5420373000000,-598833000000,-385899000000,4435641000000,251712000000,4183929000000
VHM,2025,2,-0.33128748586273643,18974961000000,7508038000000,-0.31062129069441696,9270664000000,-2453497000000,18974961000000,18974961000000,-14789242000000,4185719000000,-3442563000000,581000000,-218237000000,-947726000000,8848438000000,361757000000,-177187000000,184570000000,9033008000000,-516061000000,-291549000000,8225398000000,717360000000,7508038000000
VHM,2025,1,0.9117686925457068,15697917000000,2688954000000,2.0394067121285593,4640393000000,-3641519000000,15697917000000,15697917000000,-10539988000000,5157929000000,-3859512000000,964000000,-732197000000,-1372522000000,3835055000000,272073000000,-267649000000,4424000000,3839479000000,-1081215000000,-106230000000,2652034000000,-36920000000,2688954000000
VHM,2024,4,2.7267255842317444,32413479000000,12159464000000,13.72644542921124,11308115000000,-2972408000000,32413479000000,32413479000000,-19660105000000,12753374000000,-5009869000000,915000000,-784954000000,-2199712000000,16067869000000,416898000000,-232576000000,184322000000,16252191000000,-471930000000,-1307811000000,14472450000000,2312986000000,12159464000000
VHM,2024,3,0.018305773524358283,33323142000000,7866075000000,-0.2644927488802462,5497628000000,-1508326000000,33323142000000,33323142000000,-23571916000000,9751226000000,-1555046000000,659000000,-1628886000000,-1108582000000,10956999000000,276225000000,-396603000000,-120378000000,10836621000000,-3252716000000,1396215000000,8980120000000,1114045000000,7866075000000
VHM,2024,2,-0.12995934823614896,28375364000000,10891021000000,0.12421168046561329,8082485000000,-2042438000000,28375364000000,28375364000000,-19687113000000,8688251000000,-2553336000000,741000000,-990950000000,-759698000000,12467493000000,66188000000,-190887000000,-124699000000,12342794000000,-1432398000000,-194520000000,10715876000000,-175145000000,10891021000000
VHM,2024,1,-0.7197404295371953,8211201000000,884697000000,-0.925763774780945,1956065000000,-1066079000000,8211201000000,8211201000000,-6436815000000,1774386000000,-1369114000000,896000000,-386667000000,-525020000000,1450546000000,404280000000,-438485000000,-34205000000,1416341000000,-510166000000,-1936000000,904239000000,19542000000,884697000000
VHM,2023,4,-0.7211718495763885,8697576000000,825689000000,-0.9075148620007478,4912522000000,-1013827000000,8697576000000,8697576000000,-7815379000000,882197000000,-1759740000000,11141000000,-477771000000,-2421096000000,1147253000000,250556000000,-74682000000,175874000000,1323127000000,614780000000,-1046557000000,891350000000,65661000000,825689000000
VHM,2023,3,0.8379301569621385,32724102000000,10694762000000,-0.2621169882801976,1845229000000,-716341000000,32724102000000,32724102000000,-17767196000000,14956906000000,-953504000000,-2066000000,-682508000000,-635937000000,14528120000000,54855000000,-376791000000,-321936000000,14206184000000,-3487475000000,4832000000,10723541000000,28779000000,10694762000000
VHM,2023,2,6.295448810809505,32613837000000,9687696000000,13.535744830255943,2420806000000,-679165000000,32613837000000,32613837000000,-19506224000000,13107613000000,-407838000000,1098000000,-1299184000000,-581781000000,13240714000000,-58987000000,-541553000000,-600540000000,12640174000000,-3367953000000,476937000000,9749158000000,61462000000,9687696000000
VHM,2023,1,2.283306979668269,29298557000000,11917322000000,1.6249226332833047,11293777000000,-682987000000,29298557000000,29298557000000,-22655499000000,6643058000000,-876645000000,527000000,-1014319000000,-543870000000,15502528000000,96762000000,-525235000000,-428473000000,15074055000000,-3034359000000,-116806000000,11922890000000,5568000000,11917322000000
VHM,2022,4,0.3323094421596235,31193321000000,8927802000000,-0.2518075433350312,1489917000000,-441999000000,31193321000000,31193321000000,-16108639000000,15084682000000,-2413080000000,32325000000,-1117677000000,-601975000000,12474192000000,64706000000,-71404000000,-6698000000,12467494000000,-3204832000000,-310175000000,8952487000000,24685000000,8927802000000
VHM,2022,3,-0.1390060772456345,17804867000000,14493845000000,0.2979413520172977,10922351000000,-724530000000,17804867000000,17804867000000,-8508992000000,9295875000000,-862293000000,3542000000,-743244000000,-546079000000,18070152000000,1033505000000,-154974000000,878531000000,18948683000000,-4351554000000,-21956000000,14575173000000,81328000000,14493845000000
VHM,2022,2,-0.8404277404487291,4470436000000,666474000000,-0.93683551497033,906407000000,-575887000000,4470436000000,4470436000000,-2449880000000,2020556000000,-700089000000,10598000000,-350063000000,-432285000000,1455124000000,151379000000,-247143000000,-95764000000,1359360000000,-1088816000000,477680000000,748224000000,81750000000,666474000000
VHM,2022,1,-0.3128610063373021,8923490000000,4540066000000,-0.1586470277229187,3828959000000,-476174000000,8923490000000,8923490000000,-5057521000000,3865969000000,-477418000000,10700000000,-326742000000,-1077408000000,5824060000000,76174000000,-14611000000,61563000000,5885623000000,-1053921000000,-106765000000,4724937000000,184871000000,4540066000000
VHM,2021,4,0.08836783709706968,23412970000000,11932494000000,0.037383197070131054,3731525000000,-623512000000,23412970000000,23412970000000,-9314354000000,14098616000000,-1087566000000,0,-1014182000000,-1938095000000,13790298000000,336453000000,-528000000,335925000000,14126223000000,-2131299000000,-8633000000,11986291000000,53797000000,11932494000000
VHM,2021,3,-0.21913092481746874,20679434000000,11166795000000,0.8432161319943264,1393589000000,-502411000000,20679434000000,20679434000000,-7031668000000,13647766000000,-512234000000,22214000000,-276111000000,-384052000000,13891172000000,-31216000000,-48450000000,-79666000000,13811506000000,-2600532000000,-15871000000,11195103000000,28308000000,11166795000000
VHM,2021,2,0.710692198727419,28015120000000,10551404000000,2.0719586997357595,551356000000,-612507000000,28015120000000,28015120000000,-13594810000000,14420310000000,-778019000000,10620000000,-553821000000,-198256000000,13452190000000,76095000000,-57912000000,18183000000,13470373000000,-2988395000000,120318000000,10602296000000,50892000000,10551404000000
